Date time,Local date time,Purpose,Amount (BTC),* Exchange rate,Amount (USD)
2021-06-15 00:00:00 GMT,2021-06-14 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000285,38834.98,-0.11
2021-06-16 00:00:00 GMT,2021-06-15 19:00:00 GMT-05:00,Hashpower mining,0.00013402,40446.00,5.42
2021-06-16 00:00:00 GMT,2021-06-15 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000269,40446.00,-0.11
2021-06-17 00:00:00 GMT,2021-06-16 19:00:00 GMT-05:00,Hashpower mining,0.00013988,40265.70,5.63
2021-06-17 00:00:00 GMT,2021-06-16 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000281,40265.70,-0.11
2021-06-18 00:00:00 GMT,2021-06-17 19:00:00 GMT-05:00,Hashpower mining,0.00013312,38157.80,5.08
2021-06-18 00:00:00 GMT,2021-06-17 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000266,38157.80,-0.10
2021-06-19 00:00:00 GMT,2021-06-18 19:00:00 GMT-05:00,Hashpower mining,0.00013672,38000.00,5.20
2021-06-19 00:00:00 GMT,2021-06-18 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000274,38000.00,-0.10
2021-06-20 00:00:00 GMT,2021-06-19 19:00:00 GMT-05:00,Hashpower mining,0.00013726,35455.20,4.87
2021-06-20 00:00:00 GMT,2021-06-19 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000274,35455.20,-0.10
2021-06-21 00:00:00 GMT,2021-06-20 19:00:00 GMT-05:00,Hashpower mining,0.00015883,35602.38,5.65
2021-06-21 00:00:00 GMT,2021-06-20 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000317,35602.38,-0.11
2021-06-22 00:00:00 GMT,2021-06-21 19:00:00 GMT-05:00,Hashpower mining,0.00017556,35649.72,6.26
2021-06-22 00:00:00 GMT,2021-06-21 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000351,35649.72,-0.13
2021-06-23 00:00:00 GMT,2021-06-22 19:00:00 GMT-05:00,Hashpower mining,0.00015113,31797.74,4.81
2021-06-23 00:00:00 GMT,2021-06-22 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000302,31797.74,-0.10
